cell_id	cell_type	annotator
BaselTMA_SP42_46_X10Y7_560	Endothelial	Annotator-2
BaselTMA_SP43_170_X3Y3_1408	Epithelial (luminal)	Annotator-2
BaselTMA_SP42_6_X11Y1_1704	Epithelial (luminal)	Annotator-2
BaselTMA_SP41_218_X9Y4_240_1645	Epithelial (basal)	Annotator-2
BaselTMA_SP43_170_X3Y3_1808	Unclear	Annotator-2
BaselTMA_SP42_46_X10Y7_867	T cells	Annotator-2
BaselTMA_SP43_122_X12Y8_363	Unclear	Annotator-2
BaselTMA_SP41_218_X9Y4_240_2261	Epithelial (luminal)	Annotator-2
BaselTMA_SP42_6_X11Y1_1623	Epithelial (luminal)	Annotator-2
BaselTMA_SP41_218_X10Y4_193_1749	Stromal	Annotator-2
BaselTMA_SP41_218_X10Y4_193_448	Stromal	Annotator-2
BaselTMA_SP43_170_X3Y3_1017	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_122_X12Y8_1562	Stromal	Annotator-2
BaselTMA_SP41_218_X9Y4_240_107	Epithelial (other)	Annotator-2
BaselTMA_SP43_122_X12Y8_1131	Unclear	Annotator-2
BaselTMA_SP42_46_X10Y7_549	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_122_X12Y8_1842	Epithelial (luminal)	Annotator-2
BaselTMA_SP42_46_X10Y7_2864	Stromal	Annotator-2
BaselTMA_SP43_122_X12Y8_726	Epithelial (luminal)	Annotator-2
BaselTMA_SP41_218_X9Y4_185_38	Unclear	Annotator-2
BaselTMA_SP41_218_X9Y4_240_408	Epithelial (basal)	Annotator-2
BaselTMA_SP41_218_X10Y4_193_738	Epithelial (luminal)	Annotator-2
BaselTMA_SP41_218_X9Y4_240_1916	Epithelial (basal)	Annotator-2
BaselTMA_SP43_122_X12Y8_205	Stromal	Annotator-2
BaselTMA_SP41_218_X9Y4_240_913	Stromal	Annotator-2
BaselTMA_SP41_218_X10Y4_193_739	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_122_X12Y8_573	Stromal	Annotator-2
BaselTMA_SP42_123_X8Y6_2	Stromal	Annotator-2
BaselTMA_SP41_218_X10Y4_193_2221	Unclear	Annotator-2
BaselTMA_SP41_218_X10Y4_193_2504	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_140_X10Y7_855	Unclear	Annotator-2
BaselTMA_SP43_140_X10Y7_1690	Stromal	Annotator-2
BaselTMA_SP42_6_X11Y1_448	Stromal	Annotator-2
BaselTMA_SP43_140_X10Y7_1510	Stromal	Annotator-2
BaselTMA_SP42_6_X11Y1_1654	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_122_X12Y8_2301	Unclear	Annotator-2
BaselTMA_SP42_6_X11Y1_114	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_122_X12Y8_559	Stromal	Annotator-2
BaselTMA_SP42_6_X11Y1_1290	Epithelial (luminal)	Annotator-2
BaselTMA_SP41_218_X9Y4_240_1547	Epithelial (other)	Annotator-2
BaselTMA_SP43_170_X3Y3_379	Unclear	Annotator-2
BaselTMA_SP43_140_X10Y7_273	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_147_X6Y6_310	Endothelial	Annotator-2
BaselTMA_SP43_122_X12Y8_1315	Stromal	Annotator-2
BaselTMA_SP42_6_X11Y1_1226	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_140_X10Y7_410	Stromal	Annotator-2
BaselTMA_SP41_218_X10Y4_193_2229	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_147_X6Y6_20	T cells	Annotator-2
BaselTMA_SP42_46_X10Y7_1815	Epithelial (luminal)	Annotator-2
BaselTMA_SP41_218_X10Y4_193_2341	Epithelial (luminal)	Annotator-2
BaselTMA_SP43_122_X12Y8_776	Stromal	Annotator-2
BaselTMA_SP42_46_X10Y7_463	Unclear	Annotator-2
BaselTMA_SP43_122_X12Y8_835	Stromal	Annotator-2
BaselTMA_SP41_218_X9Y4_240_1643	Unclear	Annotator-2
BaselTMA_SP43_140_X10Y7_294	Epithelial (basal)	Annotator-2
BaselTMA_SP43_147_X6Y6_13	Unclear	Annotator-2
BaselTMA_SP43_122_X12Y8_2729	Epithelial (luminal)	Annotator-2
