cell_id	cell_type	annotator
Composite-TMA-20_15980	Unclear	Annotator-1
Composite-TMA-20_7330	Epithelial	Annotator-1
Composite-TMA-20_204	Epithelial proliferative	Annotator-1
Composite-TMA-18_2756	Stromal	Annotator-1
Composite-TMA-20_11237	Stromal	Annotator-1
Composite-TMA-20_14889	Epithelial	Annotator-1
Composite-TMA-20_18749	Epithelial	Annotator-1
Composite-TMA-20_8650	Epithelial immunosuppressive	Annotator-1
Composite-TMA-20_12902	Epithelial	Annotator-1
Composite-TMA-20_8156	Epithelial	Annotator-1
Composite-TMA-18_1430	Treg	Annotator-1
Composite-TMA-19_1207	Stromal	Annotator-1
Composite-TMA-20_6702	Epithelial proliferative	Annotator-1
Composite-TMA-19_5759	Treg	Annotator-1
Composite-TMA-20_7543	Epithelial immunosuppressive	Annotator-1
Composite-TMA-20_11428	Epithelial	Annotator-1
Composite-TMA-20_1867	Stromal	Annotator-1
Composite-TMA-19_13978	Epithelial	Annotator-1
Composite-TMA-20_1061	Epithelial proliferative	Annotator-1
Composite-TMA-20_19440	Epithelial	Annotator-1
Composite-TMA-19_17152	Epithelial	Annotator-1
Composite-TMA-20_1417	Stromal	Annotator-1
Composite-TMA-20_16098	Stromal	Annotator-1
Composite-TMA-19_4179	Stromal	Annotator-1
Composite-TMA-20_2042	Epithelial	Annotator-1
Composite-TMA-20_8210	Epithelial	Annotator-1
Composite-TMA-18_2324	Other immune	Annotator-1
Composite-TMA-19_337	Unclear	Annotator-1
Composite-TMA-18_796	Unclear	Annotator-1
Composite-TMA-19_16212	Epithelial	Annotator-1
Composite-TMA-19_15541	Epithelial	Annotator-1
Composite-TMA-20_14628	Stromal	Annotator-1
Composite-TMA-20_16427	Stromal	Annotator-1
Composite-TMA-20_2822	Epithelial proliferative	Annotator-1
Composite-TMA-19_2165	Epithelial	Annotator-1
Composite-TMA-19_2436	Epithelial	Annotator-1
Composite-TMA-20_1901	Stromal	Annotator-1
Composite-TMA-20_10697	Epithelial	Annotator-1
Composite-TMA-19_12146	Epithelial	Annotator-1
Composite-TMA-20_12793	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_879	Unclear	Annotator-1
Composite-TMA-19_861	Stromal	Annotator-1
Composite-TMA-20_592	Epithelial immunosuppressive	Annotator-1
Composite-TMA-18_1659	Treg	Annotator-1
Composite-TMA-20_3925	Epithelial	Annotator-1
Composite-TMA-20_4420	Epithelial I-P	Annotator-1
Composite-TMA-19_11110	Epithelial	Annotator-1
Composite-TMA-20_12851	Epithelial	Annotator-1
Composite-TMA-19_819	Epithelial	Annotator-1
Composite-TMA-19_12728	Epithelial proliferative	Annotator-1
Composite-TMA-20_8562	Epithelial immunosuppressive	Annotator-1
Composite-TMA-18_980	Unclear	Annotator-1
Composite-TMA-19_5270	Epithelial	Annotator-1
Composite-TMA-20_19498	Epithelial	Annotator-1
Composite-TMA-19_6533	Unclear	Annotator-1
Composite-TMA-19_17004	Unclear	Annotator-1
Composite-TMA-19_16773	Epithelial	Annotator-1
Composite-TMA-20_12317	Epithelial	Annotator-1
Composite-TMA-19_14889	Epithelial	Annotator-1
Composite-TMA-20_11823	Stromal	Annotator-1
Composite-TMA-20_14877	Epithelial	Annotator-1
Composite-TMA-20_1624	Epithelial proliferative	Annotator-1
Composite-TMA-19_444	Stromal	Annotator-1
Composite-TMA-19_2086	Stromal	Annotator-1
Composite-TMA-19_15580	Unclear	Annotator-1
Composite-TMA-20_18607	Stromal	Annotator-1
Composite-TMA-19_3963	Epithelial	Annotator-1
Composite-TMA-20_2350	Stromal	Annotator-1
Composite-TMA-18_3014	Unclear	Annotator-1
Composite-TMA-18_5011	Unclear	Annotator-1
Composite-TMA-19_13210	Epithelial	Annotator-1
Composite-TMA-19_13593	Unclear	Annotator-1
Composite-TMA-19_12992	Epithelial	Annotator-1
Composite-TMA-20_10941	Stromal	Annotator-1
Composite-TMA-19_8088	Epithelial proliferative	Annotator-1
Composite-TMA-19_11601	Unclear	Annotator-1
Composite-TMA-20_16195	Epithelial	Annotator-1
Composite-TMA-19_16078	Epithelial	Annotator-1
Composite-TMA-19_18298	Epithelial	Annotator-1
Composite-TMA-20_7317	Epithelial	Annotator-1
Composite-TMA-20_4706	Epithelial proliferative	Annotator-1
Composite-TMA-19_17578	Epithelial	Annotator-1
Composite-TMA-20_9609	Epithelial	Annotator-1
Composite-TMA-20_3404	Epithelial proliferative	Annotator-1
Composite-TMA-19_2516	Epithelial	Annotator-1
Composite-TMA-19_6154	Epithelial	Annotator-1
Composite-TMA-20_18572	Epithelial	Annotator-1
Composite-TMA-19_15347	Epithelial	Annotator-1
Composite-TMA-20_14396	Epithelial	Annotator-1
Composite-TMA-20_20427	Stromal	Annotator-1
Composite-TMA-20_13037	Stromal	Annotator-1
Composite-TMA-19_3409	Stromal	Annotator-1
Composite-TMA-19_11660	Epithelial	Annotator-1
Composite-TMA-20_5040	Other immune	Annotator-1
Composite-TMA-18_2859	Unclear	Annotator-1
Composite-TMA-19_17436	Epithelial	Annotator-1
Composite-TMA-19_786	Stromal	Annotator-1
Composite-TMA-20_20136	Epithelial	Annotator-1
Composite-TMA-20_914	Stromal	Annotator-1
Composite-TMA-20_18957	Epithelial	Annotator-1
Composite-TMA-20_3035	Stromal	Annotator-1
Composite-TMA-19_10793	Epithelial proliferative	Annotator-1
Composite-TMA-19_722	Epithelial	Annotator-1
Composite-TMA-20_2799	Epithelial	Annotator-1
Composite-TMA-20_18866	Epithelial	Annotator-1
Composite-TMA-20_5961	Epithelial proliferative	Annotator-1
Composite-TMA-19_4544	Epithelial	Annotator-1
Composite-TMA-20_13552	Epithelial proliferative	Annotator-1
Composite-TMA-19_6006	Stromal	Annotator-1
Composite-TMA-20_16490	Stromal	Annotator-1
Composite-TMA-19_7796	Epithelial	Annotator-1
Composite-TMA-19_12710	Epithelial proliferative	Annotator-1
Composite-TMA-20_12905	Stromal	Annotator-1
Composite-TMA-19_1872	Epithelial	Annotator-1
Composite-TMA-20_12956	Epithelial immunosuppressive	Annotator-1
Composite-TMA-18_2221	Unclear	Annotator-1
Composite-TMA-20_10711	Epithelial	Annotator-1
Composite-TMA-19_12704	Epithelial	Annotator-1
Composite-TMA-20_8397	Epithelial proliferative	Annotator-1
Composite-TMA-20_14567	Epithelial I-P	Annotator-1
Composite-TMA-19_10130	Stromal	Annotator-1
Composite-TMA-19_13601	Epithelial	Annotator-1
Composite-TMA-20_4743	Epithelial proliferative	Annotator-1
Composite-TMA-20_14195	Stromal	Annotator-1
Composite-TMA-18_3388	Other immune	Annotator-1
Composite-TMA-18_3916	Stromal	Annotator-1
Composite-TMA-20_1452	Stromal	Annotator-1
Composite-TMA-20_14015	Epithelial	Annotator-1
Composite-TMA-20_18416	Stromal	Annotator-1
Composite-TMA-19_11062	Epithelial	Annotator-1
Composite-TMA-19_14239	Stromal	Annotator-1
Composite-TMA-19_5467	Stromal	Annotator-1
Composite-TMA-20_6908	Epithelial	Annotator-1
Composite-TMA-19_3342	Epithelial	Annotator-1
Composite-TMA-20_19122	Stromal	Annotator-1
Composite-TMA-20_15587	Epithelial immunosuppressive	Annotator-1
Composite-TMA-20_3276	Stromal	Annotator-1
Composite-TMA-19_11365	Epithelial	Annotator-1
Composite-TMA-19_4233	Epithelial	Annotator-1
Composite-TMA-19_12018	Epithelial	Annotator-1
Composite-TMA-20_20541	Epithelial	Annotator-1
Composite-TMA-20_972	Epithelial proliferative	Annotator-1
Composite-TMA-20_19302	Epithelial	Annotator-1
Composite-TMA-19_15381	Epithelial immunosuppressive	Annotator-1
Composite-TMA-20_15810	Stromal	Annotator-1
Composite-TMA-20_5128	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_5914	Epithelial	Annotator-1
Composite-TMA-20_5680	Epithelial	Annotator-1
Composite-TMA-20_3697	Unclear	Annotator-1
Composite-TMA-19_6859	Epithelial	Annotator-1
Composite-TMA-20_20538	Epithelial	Annotator-1
Composite-TMA-19_2154	Epithelial	Annotator-1
Composite-TMA-20_424	Epithelial	Annotator-1
Composite-TMA-19_6973	Epithelial	Annotator-1
Composite-TMA-19_4709	Epithelial	Annotator-1
Composite-TMA-20_8262	Epithelial proliferative	Annotator-1
Composite-TMA-20_5290	Epithelial I-P	Annotator-1
Composite-TMA-20_19340	Stromal	Annotator-1
Composite-TMA-20_19865	Epithelial	Annotator-1
Composite-TMA-20_2900	Other immune	Annotator-1
Composite-TMA-19_3404	Epithelial	Annotator-1
Composite-TMA-18_5196	Unclear	Annotator-1
Composite-TMA-20_4383	Unclear	Annotator-1
Composite-TMA-19_10699	Epithelial proliferative	Annotator-1
Composite-TMA-19_17901	Stromal	Annotator-1
Composite-TMA-20_4152	Unclear	Annotator-1
Composite-TMA-20_4148	Stromal	Annotator-1
Composite-TMA-19_4350	Epithelial	Annotator-1
Composite-TMA-19_10307	Epithelial	Annotator-1
Composite-TMA-20_6600	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_2491	Epithelial	Annotator-1
Composite-TMA-20_11852	Epithelial	Annotator-1
Composite-TMA-20_1834	Epithelial	Annotator-1
Composite-TMA-18_4747	Unclear	Annotator-1
Composite-TMA-20_16373	Stromal	Annotator-1
Composite-TMA-18_5199	Unclear	Annotator-1
Composite-TMA-20_18155	Epithelial	Annotator-1
Composite-TMA-20_3263	Epithelial I-P	Annotator-1
Composite-TMA-19_2715	Epithelial	Annotator-1
Composite-TMA-20_18781	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_16263	Stromal	Annotator-1
Composite-TMA-20_2074	Stromal	Annotator-1
Composite-TMA-20_194	Epithelial	Annotator-1
Composite-TMA-19_9511	Epithelial	Annotator-1
Composite-TMA-19_14813	Epithelial	Annotator-1
Composite-TMA-18_328	Unclear	Annotator-1
Composite-TMA-18_568	Unclear	Annotator-1
Composite-TMA-20_16920	Epithelial	Annotator-1
Composite-TMA-20_18261	Stromal	Annotator-1
Composite-TMA-20_8974	Stromal	Annotator-1
Composite-TMA-20_19722	Epithelial	Annotator-1
Composite-TMA-19_4456	Stromal	Annotator-1
Composite-TMA-19_14205	Stromal	Annotator-1
Composite-TMA-20_5786	Epithelial	Annotator-1
Composite-TMA-20_10546	Epithelial	Annotator-1
Composite-TMA-18_5359	Unclear	Annotator-1
Composite-TMA-20_2019	Stromal	Annotator-1
Composite-TMA-19_12811	Epithelial proliferative	Annotator-1
Composite-TMA-19_15031	Epithelial	Annotator-1
Composite-TMA-18_3902	Stromal	Annotator-1
Composite-TMA-20_8766	Stromal	Annotator-1
Composite-TMA-19_9442	Stromal	Annotator-1
Composite-TMA-19_10851	Epithelial	Annotator-1
Composite-TMA-19_18341	Stromal	Annotator-1
Composite-TMA-20_16067	Epithelial	Annotator-1
Composite-TMA-20_1876	Epithelial proliferative	Annotator-1
Composite-TMA-19_10101	Epithelial proliferative	Annotator-1
Composite-TMA-20_9128	Epithelial proliferative	Annotator-1
Composite-TMA-20_8662	Epithelial I-P	Annotator-1
Composite-TMA-20_13450	Stromal	Annotator-1
Composite-TMA-20_14692	Stromal	Annotator-1
Composite-TMA-20_14062	Epithelial I-P	Annotator-1
Composite-TMA-19_935	Stromal	Annotator-1
Composite-TMA-20_12195	Epithelial immunosuppressive	Annotator-1
Composite-TMA-18_2924	Stromal	Annotator-1
Composite-TMA-18_4566	Unclear	Annotator-1
Composite-TMA-20_15573	Epithelial	Annotator-1
Composite-TMA-18_5487	Other immune	Annotator-1
Composite-TMA-20_11367	Epithelial	Annotator-1
Composite-TMA-18_5716	Stromal	Annotator-1
Composite-TMA-20_18667	Unclear	Annotator-1
Composite-TMA-18_2787	Stromal	Annotator-1
Composite-TMA-20_13348	Stromal	Annotator-1
Composite-TMA-19_12081	Stromal	Annotator-1
Composite-TMA-20_704	Epithelial proliferative	Annotator-1
Composite-TMA-19_4930	Epithelial	Annotator-1
Composite-TMA-19_12652	Epithelial	Annotator-1
Composite-TMA-20_10428	Stromal	Annotator-1
Composite-TMA-19_15760	Epithelial	Annotator-1
Composite-TMA-20_3780	Stromal	Annotator-1
Composite-TMA-19_7033	Epithelial	Annotator-1
Composite-TMA-20_6893	Epithelial	Annotator-1
Composite-TMA-19_9124	Epithelial	Annotator-1
Composite-TMA-19_3275	Epithelial	Annotator-1
Composite-TMA-19_254	Epithelial	Annotator-1
Composite-TMA-20_1442	Stromal	Annotator-1
Composite-TMA-20_15509	Stromal	Annotator-1
Composite-TMA-20_14551	Stromal	Annotator-1
Composite-TMA-20_19036	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_13079	Epithelial	Annotator-1
Composite-TMA-20_5739	Epithelial proliferative	Annotator-1
Composite-TMA-19_17035	Stromal	Annotator-1
Composite-TMA-20_17875	Epithelial	Annotator-1
Composite-TMA-20_16827	Epithelial	Annotator-1
Composite-TMA-20_15500	Epithelial	Annotator-1
Composite-TMA-20_2392	Stromal	Annotator-1
Composite-TMA-20_19750	Epithelial	Annotator-1
Composite-TMA-19_15431	Epithelial	Annotator-1
Composite-TMA-20_17481	Epithelial	Annotator-1
Composite-TMA-20_1368	Epithelial proliferative	Annotator-1
Composite-TMA-20_19390	Epithelial	Annotator-1
Composite-TMA-20_12014	Epithelial proliferative	Annotator-1
Composite-TMA-18_731	Stromal	Annotator-1
Composite-TMA-19_5136	Unclear	Annotator-1
Composite-TMA-20_4873	Epithelial proliferative	Annotator-1
Composite-TMA-20_7238	Unclear	Annotator-1
Composite-TMA-19_10723	Epithelial	Annotator-1
Composite-TMA-19_7806	Stromal	Annotator-1
Composite-TMA-19_10251	Epithelial	Annotator-1
Composite-TMA-20_12388	Epithelial	Annotator-1
Composite-TMA-20_7967	Epithelial proliferative	Annotator-1
Composite-TMA-18_4541	Stromal	Annotator-1
Composite-TMA-19_13566	Epithelial proliferative	Annotator-1
Composite-TMA-20_7986	Unclear	Annotator-1
Composite-TMA-19_2430	Epithelial proliferative	Annotator-1
Composite-TMA-20_6360	Epithelial immunosuppressive	Annotator-1
Composite-TMA-20_10818	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_15222	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_6289	Stromal	Annotator-1
Composite-TMA-19_12436	Treg	Annotator-1
Composite-TMA-19_9883	Stromal	Annotator-1
Composite-TMA-19_3268	Epithelial	Annotator-1
Composite-TMA-19_5166	Epithelial	Annotator-1
Composite-TMA-20_5860	Stromal	Annotator-1
Composite-TMA-19_7413	Epithelial proliferative	Annotator-1
Composite-TMA-20_3542	Stromal	Annotator-1
Composite-TMA-19_6045	Epithelial proliferative	Annotator-1
Composite-TMA-20_2941	Stromal	Annotator-1
Composite-TMA-20_10907	Stromal	Annotator-1
Composite-TMA-20_19215	Epithelial	Annotator-1
Composite-TMA-20_6111	Epithelial proliferative	Annotator-1
Composite-TMA-20_4621	Stromal	Annotator-1
Composite-TMA-20_6557	Epithelial immunosuppressive	Annotator-1
Composite-TMA-19_14853	Stromal	Annotator-1
Composite-TMA-19_17743	Epithelial	Annotator-1
Composite-TMA-19_6195	Epithelial	Annotator-1
Composite-TMA-19_7466	Epithelial	Annotator-1
