cell_id	cell_type	annotator
Composite-TMA-27_8542	Epithelial	Annotator 1
Composite-TMA-27_8374	Unclear	Annotator 1
Composite-TMA-27_17317	Epithelial	Annotator 1
Composite-TMA-28_19120	Epithelial proliferative	Annotator 1
Composite-TMA-28_2599	Epithelial	Annotator 1
Composite-TMA-28_7416	Epithelial	Annotator 1
Composite-TMA-28_17021	Epithelial proliferative	Annotator 1
Composite-TMA-27_3993	Epithelial	Annotator 1
Composite-TMA-27_5971	Unclear	Annotator 1
Composite-TMA-29_1988	Unclear	Annotator 1
Composite-TMA-28_14312	Unclear	Annotator 1
Composite-TMA-29_11669	Other immune	Annotator 1
Composite-TMA-27_3031	Epithelial	Annotator 1
Composite-TMA-28_7281	Unclear	Annotator 1
Composite-TMA-28_20217	Epithelial	Annotator 1
Composite-TMA-28_15255	Unclear	Annotator 1
Composite-TMA-28_22446	Epithelial	Annotator 1
Composite-TMA-27_17817	Epithelial	Annotator 1
Composite-TMA-27_10752	Epithelial proliferative	Annotator 1
Composite-TMA-27_16793	Epithelial proliferative	Annotator 1
Composite-TMA-28_15009	Epithelial	Annotator 1
Composite-TMA-29_10221	Treg	Annotator 1
Composite-TMA-27_13796	Epithelial	Annotator 1
Composite-TMA-29_9282	Stromal	Annotator 1
Composite-TMA-27_2558	Epithelial	Annotator 1
Composite-TMA-28_14120	Unclear	Annotator 1
Composite-TMA-27_14423	Epithelial	Annotator 1
Composite-TMA-28_68	Epithelial	Annotator 1
Composite-TMA-29_938	Epithelial	Annotator 1
Composite-TMA-29_4852	Epithelial	Annotator 1
Composite-TMA-29_4861	Epithelial	Annotator 1
Composite-TMA-28_13280	Epithelial	Annotator 1
Composite-TMA-29_9226	Unclear	Annotator 1
Composite-TMA-27_9685	Epithelial proliferative	Annotator 1
Composite-TMA-27_18589	Unclear	Annotator 1
Composite-TMA-28_6099	Epithelial	Annotator 1
Composite-TMA-28_3513	Epithelial proliferative	Annotator 1
Composite-TMA-27_3249	Epithelial	Annotator 1
Composite-TMA-29_4043	Epithelial immunosuppressive	Annotator 1
Composite-TMA-29_15171	Stromal	Annotator 1
Composite-TMA-28_16502	Epithelial	Annotator 1
Composite-TMA-29_10108	Treg	Annotator 1
Composite-TMA-28_5264	Epithelial proliferative	Annotator 1
Composite-TMA-28_10054	Epithelial	Annotator 1
Composite-TMA-28_22137	Unclear	Annotator 1
Composite-TMA-27_8025	Epithelial	Annotator 1
Composite-TMA-29_6531	Epithelial	Annotator 1
Composite-TMA-27_11814	Epithelial proliferative	Annotator 1
Composite-TMA-29_5581	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_11435	Stromal	Annotator 1
Composite-TMA-27_5210	Epithelial proliferative	Annotator 1
Composite-TMA-28_21981	Epithelial	Annotator 1
Composite-TMA-29_13068	Stromal	Annotator 1
Composite-TMA-28_5192	Stromal	Annotator 1
Composite-TMA-27_9801	Stromal	Annotator 1
Composite-TMA-29_1696	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_6356	Other immune	Annotator 1
Composite-TMA-28_76	Epithelial	Annotator 1
Composite-TMA-28_6760	Epithelial	Annotator 1
Composite-TMA-29_13493	Epithelial	Annotator 1
Composite-TMA-27_15799	Unclear	Annotator 1
Composite-TMA-27_17131	Epithelial	Annotator 1
Composite-TMA-27_522	Epithelial	Annotator 1
Composite-TMA-27_3714	Epithelial	Annotator 1
Composite-TMA-28_5835	Epithelial	Annotator 1
Composite-TMA-28_9158	Epithelial	Annotator 1
Composite-TMA-28_697	Stromal	Annotator 1
Composite-TMA-28_10312	Epithelial proliferative	Annotator 1
Composite-TMA-28_9661	Unclear	Annotator 1
Composite-TMA-28_439	Epithelial	Annotator 1
Composite-TMA-27_12618	Epithelial I-P	Annotator 1
Composite-TMA-27_15050	Epithelial	Annotator 1
Composite-TMA-28_7562	Epithelial proliferative	Annotator 1
Composite-TMA-28_19134	Stromal	Annotator 1
Composite-TMA-28_10372	Stromal	Annotator 1
Composite-TMA-28_9466	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_13100	Unclear	Annotator 1
Composite-TMA-27_4397	Epithelial	Annotator 1
Composite-TMA-28_685	Epithelial	Annotator 1
Composite-TMA-28_20054	Epithelial	Annotator 1
Composite-TMA-27_11408	Epithelial proliferative	Annotator 1
Composite-TMA-28_3057	Unclear	Annotator 1
Composite-TMA-27_10300	Epithelial	Annotator 1
Composite-TMA-27_10929	Epithelial	Annotator 1
Composite-TMA-29_9378	Stromal	Annotator 1
Composite-TMA-29_9476	Stromal	Annotator 1
Composite-TMA-28_16472	Unclear	Annotator 1
Composite-TMA-29_2025	Epithelial	Annotator 1
Composite-TMA-28_17990	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_15902	Treg	Annotator 1
Composite-TMA-28_2383	Epithelial I-P	Annotator 1
Composite-TMA-28_20369	Epithelial proliferative	Annotator 1
Composite-TMA-29_11932	Treg	Annotator 1
Composite-TMA-27_12858	Stromal	Annotator 1
Composite-TMA-27_28	Unclear	Annotator 1
Composite-TMA-27_3217	Epithelial	Annotator 1
Composite-TMA-28_19529	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_21779	Epithelial proliferative	Annotator 1
Composite-TMA-29_9733	Unclear	Annotator 1
Composite-TMA-29_1361	Unclear	Annotator 1
Composite-TMA-28_17742	Epithelial proliferative	Annotator 1
Composite-TMA-27_2886	Stromal	Annotator 1
Composite-TMA-28_2550	Epithelial	Annotator 1
Composite-TMA-28_12622	Epithelial	Annotator 1
Composite-TMA-28_22280	Unclear	Annotator 1
Composite-TMA-27_4333	Epithelial proliferative	Annotator 1
Composite-TMA-28_5798	Stromal	Annotator 1
Composite-TMA-28_282	Stromal	Annotator 1
Composite-TMA-29_5969	Stromal	Annotator 1
Composite-TMA-27_17357	Epithelial	Annotator 1
Composite-TMA-29_9838	Stromal	Annotator 1
Composite-TMA-28_10854	Epithelial	Annotator 1
Composite-TMA-29_7904	Unclear	Annotator 1
Composite-TMA-29_2364	Unclear	Annotator 1
Composite-TMA-28_17248	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_10717	Epithelial proliferative	Annotator 1
Composite-TMA-28_8342	Epithelial proliferative	Annotator 1
Composite-TMA-28_11691	Epithelial proliferative	Annotator 1
Composite-TMA-27_15444	Epithelial	Annotator 1
Composite-TMA-28_14939	Epithelial	Annotator 1
Composite-TMA-28_11765	Unclear	Annotator 1
Composite-TMA-27_2678	Epithelial	Annotator 1
Composite-TMA-27_11093	Epithelial	Annotator 1
Composite-TMA-27_17599	Epithelial	Annotator 1
Composite-TMA-28_1341	Epithelial	Annotator 1
Composite-TMA-29_15596	Other immune	Annotator 1
Composite-TMA-28_3032	Epithelial	Annotator 1
Composite-TMA-29_14444	Other immune	Annotator 1
Composite-TMA-27_13477	Epithelial	Annotator 1
Composite-TMA-28_6069	Epithelial proliferative	Annotator 1
Composite-TMA-27_15839	Epithelial	Annotator 1
Composite-TMA-29_1293	Epithelial	Annotator 1
Composite-TMA-27_13031	Epithelial	Annotator 1
Composite-TMA-28_17963	Epithelial	Annotator 1
Composite-TMA-27_302	Epithelial	Annotator 1
Composite-TMA-28_22803	Epithelial immunosuppressive	Annotator 1
Composite-TMA-28_122	Epithelial	Annotator 1
Composite-TMA-29_11053	Treg	Annotator 1
Composite-TMA-28_9742	Epithelial	Annotator 1
Composite-TMA-29_4590	Epithelial	Annotator 1
Composite-TMA-28_19725	Unclear	Annotator 1
Composite-TMA-27_13999	Epithelial	Annotator 1
Composite-TMA-28_3197	Epithelial proliferative	Annotator 1
