cell_id	leiden	cell_type
Composite-TMA-18_1000	2	Epithelial immunosuppressive
Composite-TMA-18_1001	2	Epithelial immunosuppressive
Composite-TMA-18_1002	2	Epithelial immunosuppressive
Composite-TMA-18_1003	2	Epithelial immunosuppressive
Composite-TMA-18_1004	2	Epithelial immunosuppressive
Composite-TMA-18_1005	2	Epithelial immunosuppressive
Composite-TMA-18_1006	2	Epithelial immunosuppressive
Composite-TMA-18_1007	2	Epithelial immunosuppressive
Composite-TMA-18_1008	16	Other immune
Composite-TMA-18_1010	2	Epithelial immunosuppressive
Composite-TMA-18_1011	16	Other immune
Composite-TMA-18_1012	2	Epithelial immunosuppressive
Composite-TMA-18_1015	16	Other immune
Composite-TMA-18_1016	2	Epithelial immunosuppressive
Composite-TMA-18_1017	16	Other immune
Composite-TMA-18_1018	2	Epithelial immunosuppressive
Composite-TMA-18_1019	2	Epithelial immunosuppressive
Composite-TMA-18_1021	2	Epithelial immunosuppressive
Composite-TMA-18_1022	2	Epithelial immunosuppressive
Composite-TMA-18_1024	2	Epithelial immunosuppressive
Composite-TMA-18_1025	2	Epithelial immunosuppressive
Composite-TMA-18_1026	2	Epithelial immunosuppressive
Composite-TMA-18_1027	2	Epithelial immunosuppressive
Composite-TMA-18_1028	2	Epithelial immunosuppressive
Composite-TMA-18_1030	16	Other immune
Composite-TMA-18_1031	2	Epithelial immunosuppressive
Composite-TMA-18_1032	2	Epithelial immunosuppressive
Composite-TMA-18_1033	2	Epithelial immunosuppressive
Composite-TMA-18_1034	16	Other immune
Composite-TMA-18_1035	2	Epithelial immunosuppressive
Composite-TMA-18_1036	2	Epithelial immunosuppressive
Composite-TMA-18_1037	2	Epithelial immunosuppressive
Composite-TMA-18_1038	2	Epithelial immunosuppressive
Composite-TMA-18_1039	2	Epithelial immunosuppressive
Composite-TMA-18_1040	2	Epithelial immunosuppressive
Composite-TMA-18_1042	16	Other immune
Composite-TMA-18_1043	2	Epithelial immunosuppressive
Composite-TMA-18_1044	2	Epithelial immunosuppressive
Composite-TMA-18_1045	2	Epithelial immunosuppressive
Composite-TMA-18_1048	19	Stromal
Composite-TMA-18_1049	2	Epithelial immunosuppressive
Composite-TMA-18_1050	2	Epithelial immunosuppressive
Composite-TMA-18_1051	16	Other immune
Composite-TMA-18_1052	2	Epithelial immunosuppressive
Composite-TMA-18_1053	2	Epithelial immunosuppressive
Composite-TMA-18_1054	16	Other immune
Composite-TMA-18_1055	16	Other immune
Composite-TMA-18_1056	2	Epithelial immunosuppressive
Composite-TMA-18_1058	2	Epithelial immunosuppressive
Composite-TMA-18_1060	2	Epithelial immunosuppressive
Composite-TMA-18_1061	2	Epithelial immunosuppressive
Composite-TMA-18_1062	16	Other immune
Composite-TMA-18_1063	2	Epithelial immunosuppressive
Composite-TMA-18_1064	2	Epithelial immunosuppressive
Composite-TMA-18_1065	2	Epithelial immunosuppressive
Composite-TMA-18_1067	2	Epithelial immunosuppressive
Composite-TMA-18_1068	2	Epithelial immunosuppressive
Composite-TMA-18_1069	2	Epithelial immunosuppressive
Composite-TMA-18_1070	2	Epithelial immunosuppressive
Composite-TMA-18_1071	16	Other immune
Composite-TMA-18_1072	2	Epithelial immunosuppressive
Composite-TMA-18_1073	16	Other immune
Composite-TMA-18_1074	2	Epithelial immunosuppressive
Composite-TMA-18_1075	2	Epithelial immunosuppressive
Composite-TMA-18_1076	16	Other immune
Composite-TMA-18_1077	2	Epithelial immunosuppressive
Composite-TMA-18_1078	2	Epithelial immunosuppressive
Composite-TMA-18_1079	2	Epithelial immunosuppressive
Composite-TMA-18_1080	16	Other immune
Composite-TMA-18_1081	2	Epithelial immunosuppressive
Composite-TMA-18_1082	2	Epithelial immunosuppressive
Composite-TMA-18_1085	2	Epithelial immunosuppressive
Composite-TMA-18_1086	16	Other immune
