cell_id	leiden	cell_type
Composite-TMA-29_10000	0	Other immune
Composite-TMA-29_10002	2	Epithelial
Composite-TMA-29_10003	0	Other immune
Composite-TMA-29_10004	17	Treg
Composite-TMA-29_10005	17	Treg
Composite-TMA-29_10006	0	Other immune
Composite-TMA-29_10008	17	Treg
Composite-TMA-29_1001	2	Epithelial
Composite-TMA-29_10010	0	Other immune
Composite-TMA-29_10012	0	Other immune
Composite-TMA-29_10013	2	Epithelial
Composite-TMA-29_10014	0	Other immune
Composite-TMA-29_10015	17	Treg
Composite-TMA-29_10018	0	Other immune
Composite-TMA-29_10019	0	Other immune
Composite-TMA-29_10020	0	Other immune
Composite-TMA-29_10021	17	Treg
Composite-TMA-29_10022	2	Epithelial
Composite-TMA-29_10024	2	Epithelial
Composite-TMA-29_10025	17	Treg
Composite-TMA-29_10026	0	Other immune
Composite-TMA-29_10028	0	Other immune
Composite-TMA-29_10029	0	Other immune
Composite-TMA-29_1003	2	Epithelial
Composite-TMA-29_10030	2	Epithelial
Composite-TMA-29_10031	0	Other immune
Composite-TMA-29_10032	2	Epithelial
Composite-TMA-29_10035	17	Treg
Composite-TMA-29_10036	17	Treg
Composite-TMA-29_10037	0	Other immune
Composite-TMA-29_10038	0	Other immune
Composite-TMA-29_10039	0	Other immune
Composite-TMA-29_1004	2	Epithelial
Composite-TMA-29_10040	2	Epithelial
Composite-TMA-29_10044	17	Treg
Composite-TMA-29_10046	2	Epithelial
Composite-TMA-29_10048	0	Other immune
Composite-TMA-29_10049	0	Other immune
Composite-TMA-29_1005	2	Epithelial
Composite-TMA-29_10050	0	Other immune
Composite-TMA-29_10051	17	Treg
Composite-TMA-29_10055	2	Epithelial
Composite-TMA-29_10058	17	Treg
Composite-TMA-29_1006	0	Other immune
Composite-TMA-29_10062	0	Other immune
Composite-TMA-29_10064	0	Other immune
Composite-TMA-29_10067	0	Other immune
Composite-TMA-29_10069	2	Epithelial
Composite-TMA-29_1007	2	Epithelial
Composite-TMA-29_10070	0	Other immune
Composite-TMA-29_10071	0	Other immune
Composite-TMA-29_10072	0	Other immune
Composite-TMA-29_10073	17	Treg
Composite-TMA-29_10074	0	Other immune
Composite-TMA-29_10075	0	Other immune
Composite-TMA-29_10077	0	Other immune
Composite-TMA-29_1008	2	Epithelial
Composite-TMA-29_10080	0	Other immune
Composite-TMA-29_10081	0	Other immune
Composite-TMA-29_10082	0	Other immune
Composite-TMA-29_10083	17	Treg
Composite-TMA-29_10084	2	Epithelial
Composite-TMA-29_10087	0	Other immune
Composite-TMA-29_10088	2	Epithelial
Composite-TMA-29_10089	2	Epithelial
