cell_id	cell_type	annotator
LiveCell_T_BB099_Plate1_clustered_cell_11576	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_2306	Epithelial (luminal)	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_203	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5923	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1796	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11455	Unclear	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_1067	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12598	Unclear	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_495	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_516	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6931	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_794	Epithelial (luminal)	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_1257	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3621	T cells	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_835	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12232	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10197	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_866	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_1078	T cells	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_396	Endothelial	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1956	Unclear	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_953	Stromal	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_75	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7097	T cells	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_812	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_532	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6274	T cells	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_672	Endothelial	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_132	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3741	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12803	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12181	Epithelial (basal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12042	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_812	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_2031	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5694	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8132	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1981	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10881	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_555	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11044	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2837	Unclear	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_577	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_329	Unclear	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_841	Unclear	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_959	Epithelial (luminal)	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4175	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12392	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2817	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1866	Epithelial (luminal)	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_919	Endothelial	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2396	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1479	Epithelial (luminal)	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_259	Unclear	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1233	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3402	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6797	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11480	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9380	Unclear	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_387	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1300	Unclear	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1743	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9879	Endothelial	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_1019	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3947	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_918	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1262	Epithelial (luminal)	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1895	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2519	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1745	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7866	Unclear	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_334	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1275	Unclear	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_803	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11250	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11505	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8004	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_2219	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10650	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3863	Stromal	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1277	Unclear	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_1019	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2192	Macrophage	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1541	Epithelial (luminal)	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_457	Stromal	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_45	Macrophage	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2698	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4187	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_98	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9185	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1932	Macrophage	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_646	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6750	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3951	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1288	Unclear	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_402	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_484	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3092	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10549	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_601	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_675	Stromal	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3592	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3607	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_698	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6978	Unclear	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_143	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12113	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3331	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_1019	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2356	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3446	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9386	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_443	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11135	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1165	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_283	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1241	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11466	T cells	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_2107	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9472	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2259	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1960	Stromal	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1638	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_140	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6751	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8381	Epithelial (basal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9859	T cells	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_822	T cells	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_673	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5375	Stromal	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_191	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12676	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_3700	T cells	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_1022	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9350	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9053	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1722	Epithelial (luminal)	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_4043	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1712	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4799	Unclear	Annotator-1
LiveCell_T_BB236_Plate2_clustered_cell_261	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6373	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_11881	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12544	Unclear	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1022	Epithelial (luminal)	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_623	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1442	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_2220	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9974	Stromal	Annotator-1
LiveCell_T_BB145_Plate1_clustered_cell_414	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3943	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_4433	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9751	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_7086	Unclear	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_6331	Epithelial (luminal)	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8624	T cells	Annotator-1
LiveCell_T_BB046a_Plate1_clustered_cell_1997	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9366	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_1034	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_840	T cells	Annotator-1
LiveCell_T_BB055_Plate1_clustered_cell_184	Unclear	Annotator-1
LiveCell_T_BB028_Plate2_clustered_cell_216	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8518	T cells	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_3521	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5929	Unclear	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_2030	Unclear	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_2037	Endothelial	Annotator-1
LiveCell_T_BB072_Plate2_clustered_cell_40	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_12789	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_185	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_8133	Stromal	Annotator-1
LiveCell_T_BB193_Plate2_clustered_cell_20	T cells	Annotator-1
LiveCell_N_BB227_Plate2_clustered_cell_1673	Endothelial	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_5377	T cells	Annotator-1
LiveCell_T_BB155_Plate1_clustered_cell_373	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_9022	T cells	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_10519	Stromal	Annotator-1
LiveCell_T_BB099_Plate1_clustered_cell_1460	T cells	Annotator-1
