cell,core
BaselTMA_SP41_186_X5Y4_3679,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_153_X7Y5_246,BaselTMA_SP41_153_X7Y5
BaselTMA_SP41_20_X12Y5_197,BaselTMA_SP41_20_X12Y5
BaselTMA_SP41_14_X1Y8_84,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_166_X15Y4_266,BaselTMA_SP41_166_X15Y4
BaselTMA_SP41_117_X13Y3_4413,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_133_X3Y6_1249,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_206_X2Y2_140,BaselTMA_SP41_206_X2Y2
BaselTMA_SP41_112_X5Y8_690,BaselTMA_SP41_112_X5Y8
BaselTMA_SP41_134_X3Y8_449,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_133_X3Y6_1318,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_117_X13Y3_2100,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_211_X4Y6_2201,BaselTMA_SP41_211_X4Y6
BaselTMA_SP41_203_X8Y8_1760,BaselTMA_SP41_203_X8Y8
BaselTMA_SP41_141_X11Y2_5273,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_14_X1Y8_930,BaselTMA_SP41_14_X1Y8
BaselTMA_SP41_191_X15Y7_1306,BaselTMA_SP41_191_X15Y7
BaselTMA_SP41_186_X5Y4_1592,BaselTMA_SP41_186_X5Y4
BaselTMA_SP41_141_X11Y2_5215,BaselTMA_SP41_141_X11Y2
BaselTMA_SP41_206_X1Y2_1390,BaselTMA_SP41_206_X1Y2
BaselTMA_SP41_133_X3Y6_2298,BaselTMA_SP41_133_X3Y6
BaselTMA_SP41_134_X3Y8_1196,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_11_X13Y7_3460,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_117_X13Y3_660,BaselTMA_SP41_117_X13Y3
BaselTMA_SP41_159_X12Y4_2161,BaselTMA_SP41_159_X12Y4
BaselTMA_SP41_134_X3Y8_176,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_204_X16Y4_237_233,BaselTMA_SP41_204_X16Y4_237
BaselTMA_SP41_11_X13Y7_3290,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_204_X16Y4_237_8,BaselTMA_SP41_204_X16Y4_237
BaselTMA_SP41_134_X3Y8_234,BaselTMA_SP41_134_X3Y8
BaselTMA_SP41_11_X13Y7_1243,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_135_X8Y5_3127,BaselTMA_SP41_135_X8Y5
BaselTMA_SP41_11_X13Y7_3217,BaselTMA_SP41_11_X13Y7
BaselTMA_SP41_126_X14Y7_1746,BaselTMA_SP41_126_X14Y7
BaselTMA_SP41_18_X13Y5_762,BaselTMA_SP41_18_X13Y5
